H = 	1	 Volume = 	0.243	 Pressure = 	0	 Normal Contact Force = 	0
H = 	1	 Volume = 	0.243	 Pressure = 	0	 Normal Contact Force = 	0
H = 	0.99	 Volume = 	0.243	 Pressure = 	-0.000160175	 Normal Contact Force = 	-4.08281e-05
H = 	0.98	 Volume = 	0.243	 Pressure = 	-0.000347228	 Normal Contact Force = 	-8.51952e-05
H = 	0.97	 Volume = 	0.243	 Pressure = 	-0.000560789	 Normal Contact Force = 	-0.000131906
H = 	0.96	 Volume = 	0.243	 Pressure = 	-0.000801493	 Normal Contact Force = 	-0.000180231
H = 	0.95	 Volume = 	0.243	 Pressure = 	-0.0010763	 Normal Contact Force = 	-0.000231
H = 	0.94	 Volume = 	0.243	 Pressure = 	-0.00139422	 Normal Contact Force = 	-0.000285516
H = 	0.93	 Volume = 	0.243	 Pressure = 	-0.00176827	 Normal Contact Force = 	-0.00034617
H = 	0.92	 Volume = 	0.243	 Pressure = 	-0.00219958	 Normal Contact Force = 	-0.000412572
H = 	0.91	 Volume = 	0.243	 Pressure = 	-0.00269458	 Normal Contact Force = 	-0.000485644
H = 	0.9	 Volume = 	0.243	 Pressure = 	-0.00325839	 Normal Contact Force = 	-0.000566002
H = 	0.89	 Volume = 	0.243	 Pressure = 	-0.00390596	 Normal Contact Force = 	-0.000656953
H = 	0.88	 Volume = 	0.243	 Pressure = 	-0.00463829	 Normal Contact Force = 	-0.000758314
H = 	0.87	 Volume = 	0.243	 Pressure = 	-0.00545745	 Normal Contact Force = 	-0.000870171
H = 	0.86	 Volume = 	0.243	 Pressure = 	-0.00638312	 Normal Contact Force = 	-0.000997664
H = 	0.86	 Volume = 	0.243	 Pressure = 	-0.00638312	 Normal Contact Force = 	-0.000997664
H = 	0.85	 Volume = 	0.243	 Pressure = 	-0.00740287	 Normal Contact Force = 	-0.00113739
H = 	0.84	 Volume = 	0.243	 Pressure = 	-0.00854591	 Normal Contact Force = 	-0.00129766
H = 	0.84	 Volume = 	0.243	 Pressure = 	-0.00854591	 Normal Contact Force = 	-0.00129766
