H = 	1.14999999999999991	 Volume = 	0.20470833333233290	 Pressure = 	0.00000000000000000	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.21480866666666845	 Pressure = 	-4.77637913811956594	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.22511099999999754	 Pressure = 	-9.00291947823243355	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.23561733333333740	 Pressure = 	-12.74874984462691607	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.24632966666666559	 Pressure = 	-16.07296000401806779	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.25724999999999620	 Pressure = 	-19.02627726860210089	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.27972266666693119	 Pressure = 	-23.98923357239625176	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.32725200005686533	 Pressure = 	-31.04006035819698539	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336886704	 Pressure = 	-35.45685262062550436	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336886704	 Pressure = 	-35.45685262062550436	 Radial Contact Force = 	0.00000000000000000
H = 	1.13999999999999990	 Volume = 	0.37833333333332969	 Pressure = 	-35.54363086499511581	 Radial Contact Force = 	-0.07363909251834637
H = 	1.13999999999999990	 Volume = 	0.37833333333332969	 Pressure = 	-35.54363086499511581	 Radial Contact Force = 	-0.07363909251834637
H = 	1.12999999999999989	 Volume = 	0.37833333333333058	 Pressure = 	-35.67165119350097768	 Radial Contact Force = 	-0.18153986806487518
H = 	1.12999999999999989	 Volume = 	0.37833333333333058	 Pressure = 	-35.67165119350097768	 Radial Contact Force = 	-0.18153986806487518
H = 	1.11999999999999988	 Volume = 	0.37833333333326469	 Pressure = 	-35.80813709188280569	 Radial Contact Force = 	-0.29541755797727115
H = 	1.11999999999999988	 Volume = 	0.37833333333326469	 Pressure = 	-35.80813709188280569	 Radial Contact Force = 	-0.29541755797727115
H = 	1.10999999999999988	 Volume = 	0.37833333333326241	 Pressure = 	-35.96960269622068296	 Radial Contact Force = 	-0.42942813582263817
H = 	1.10999999999999988	 Volume = 	0.37833333333326241	 Pressure = 	-35.96960269622068296	 Radial Contact Force = 	-0.42942813582263817
H = 	1.09999999999999987	 Volume = 	0.37833333333332786	 Pressure = 	-36.13761984471478428	 Radial Contact Force = 	-0.56747912346697671
H = 	1.09999999999999987	 Volume = 	0.37833333333332786	 Pressure = 	-36.13761984471478428	 Radial Contact Force = 	-0.56747912346697671
H = 	1.08999999999999986	 Volume = 	0.37833333333332247	 Pressure = 	-36.31814113478439054	 Radial Contact Force = 	-0.71471140041843961
H = 	1.08999999999999986	 Volume = 	0.37833333333332247	 Pressure = 	-36.31814113478439054	 Radial Contact Force = 	-0.71471140041843961
H = 	1.07999999999999985	 Volume = 	0.37833333333332847	 Pressure = 	-36.52000387429004746	 Radial Contact Force = 	-0.87886522560847335
H = 	1.07999999999999985	 Volume = 	0.37833333333332847	 Pressure = 	-36.52000387429004746	 Radial Contact Force = 	-0.87886522560847335
H = 	1.06999999999999984	 Volume = 	0.37833333333332658	 Pressure = 	-36.72759999546723009	 Radial Contact Force = 	-1.04616315607424148
H = 	1.06999999999999984	 Volume = 	0.37833333333332658	 Pressure = 	-36.72759999546723009	 Radial Contact Force = 	-1.04616315607424148
H = 	1.05999999999999983	 Volume = 	0.37833333333331953	 Pressure = 	-36.94799450544230268	 Radial Contact Force = 	-1.22293386181445118
H = 	1.05999999999999983	 Volume = 	0.37833333333331953	 Pressure = 	-36.94799450544230268	 Radial Contact Force = 	-1.22293386181445118
H = 	1.04999999999999982	 Volume = 	0.37833333333332697	 Pressure = 	-37.19034661195809832	 Radial Contact Force = 	-1.41752635336908672
H = 	1.04999999999999982	 Volume = 	0.37833333333332697	 Pressure = 	-37.19034661195809832	 Radial Contact Force = 	-1.41752635336908672
H = 	1.03999999999999981	 Volume = 	0.37833333333332797	 Pressure = 	-37.43769467600306911	 Radial Contact Force = 	-1.61460223314574547
H = 	1.03999999999999981	 Volume = 	0.37833333333332797	 Pressure = 	-37.43769467600306911	 Radial Contact Force = 	-1.61460223314574547
H = 	1.02999999999999980	 Volume = 	0.37833333333332331	 Pressure = 	-37.69435999332777243	 Radial Contact Force = 	-1.81814642639305712
H = 	1.02999999999999980	 Volume = 	0.37833333333332331	 Pressure = 	-37.69435999332777243	 Radial Contact Force = 	-1.81814642639305712
H = 	1.01999999999999980	 Volume = 	0.37833333333331665	 Pressure = 	-37.98077908863761110	 Radial Contact Force = 	-2.04759335367492978
H = 	1.01999999999999980	 Volume = 	0.37833333333331665	 Pressure = 	-37.98077908863761110	 Radial Contact Force = 	-2.04759335367492978
H = 	1.00999999999999979	 Volume = 	0.37833333333332714	 Pressure = 	-38.26850042392335638	 Radial Contact Force = 	-2.27620194060339287
H = 	1.00999999999999979	 Volume = 	0.37833333333332714	 Pressure = 	-38.26850042392335638	 Radial Contact Force = 	-2.27620194060339287
H = 	0.99999999999999978	 Volume = 	0.37833333333331975	 Pressure = 	-38.56674183430691727	 Radial Contact Force = 	-2.51284994852576071
H = 	0.99999999999999978	 Volume = 	0.37833333333331975	 Pressure = 	-38.56674183430691727	 Radial Contact Force = 	-2.51284994852576071
H = 	0.98999999999999977	 Volume = 	0.37833333333331343	 Pressure = 	-38.89267792531968837	 Radial Contact Force = 	-2.77479928556384881
H = 	0.98999999999999977	 Volume = 	0.37833333333331343	 Pressure = 	-38.89267792531968837	 Radial Contact Force = 	-2.77479928556384881
H = 	0.97999999999999976	 Volume = 	0.37833333333332531	 Pressure = 	-39.22451976324400391	 Radial Contact Force = 	-3.04073161297247596
H = 	0.97999999999999976	 Volume = 	0.37833333333332531	 Pressure = 	-39.22451976324400391	 Radial Contact Force = 	-3.04073161297247596
H = 	0.96999999999999975	 Volume = 	0.37833333333332153	 Pressure = 	-39.56815059430347503	 Radial Contact Force = 	-3.31688296247596792
H = 	0.96999999999999975	 Volume = 	0.37833333333332153	 Pressure = 	-39.56815059430347503	 Radial Contact Force = 	-3.31688296247596792
H = 	0.95999999999999974	 Volume = 	0.37833333333332470	 Pressure = 	-39.92802936059169383	 Radial Contact Force = 	-3.60824882902974586
H = 	0.95999999999999974	 Volume = 	0.37833333333332470	 Pressure = 	-39.92802936059169383	 Radial Contact Force = 	-3.60824882902974586
H = 	0.94999999999999973	 Volume = 	0.37833333333331981	 Pressure = 	-40.31081171274885122	 Radial Contact Force = 	-3.92213687427258151
H = 	0.94999999999999973	 Volume = 	0.37833333333331981	 Pressure = 	-40.31081171274885122	 Radial Contact Force = 	-3.92213687427258151
H = 	0.93999999999999972	 Volume = 	0.37833333333332470	 Pressure = 	-40.69768407280348299	 Radial Contact Force = 	-4.23949007218013740
H = 	0.93999999999999972	 Volume = 	0.37833333333332470	 Pressure = 	-40.69768407280348299	 Radial Contact Force = 	-4.23949007218013740
H = 	0.92999999999999972	 Volume = 	0.37833333333332059	 Pressure = 	-41.09214277960504091	 Radial Contact Force = 	-4.56422085453567128
