H = 	1.14999999999999991	 Volume = 	0.20470833333233290	 Pressure = 	0.00000000000000000	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.21480866666667625	 Pressure = 	-0.34203186248862771	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.22511100000000497	 Pressure = 	-0.70437041577733150	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.23561733333333171	 Pressure = 	-1.13229592332225537	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.24632966666667125	 Pressure = 	-1.65574256374781004	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.25725000000000525	 Pressure = 	-2.29347920129667227	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.27972266666704143	 Pressure = 	-3.94867981352209307	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.32725200000000021	 Pressure = 	-8.79152747955911096	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336867159	 Pressure = 	-15.41473438155337483	 Radial Contact Force = 	0.00000000000000000
H = 	1.15999999999999992	 Volume = 	0.37833333336867159	 Pressure = 	-15.41473438155337483	 Radial Contact Force = 	0.00000000000000000
H = 	1.13999999999999990	 Volume = 	0.37833333333332070	 Pressure = 	-15.49795698235609720	 Radial Contact Force = 	-0.03516253584065558
H = 	1.13999999999999990	 Volume = 	0.37833333333332070	 Pressure = 	-15.49795698235609720	 Radial Contact Force = 	-0.03516253584065558
H = 	1.12999999999999989	 Volume = 	0.37833333333332619	 Pressure = 	-15.62168296135358325	 Radial Contact Force = 	-0.08584789427324896
H = 	1.12999999999999989	 Volume = 	0.37833333333332619	 Pressure = 	-15.62168296135358325	 Radial Contact Force = 	-0.08584789427324896
H = 	1.11999999999999988	 Volume = 	0.37833333333331737	 Pressure = 	-15.75809458447304223	 Radial Contact Force = 	-0.13961142129276372
H = 	1.11999999999999988	 Volume = 	0.37833333333331737	 Pressure = 	-15.75809458447304223	 Radial Contact Force = 	-0.13961142129276372
H = 	1.10999999999999988	 Volume = 	0.37833333333330726	 Pressure = 	-15.92198773909593079	 Radial Contact Force = 	-0.20288214831418355
H = 	1.10999999999999988	 Volume = 	0.37833333333330726	 Pressure = 	-15.92198773909593079	 Radial Contact Force = 	-0.20288214831418355
H = 	1.09999999999999987	 Volume = 	0.37833333333331681	 Pressure = 	-16.09944382214924730	 Radial Contact Force = 	-0.26915928413242535
H = 	1.09999999999999987	 Volume = 	0.37833333333331681	 Pressure = 	-16.09944382214924730	 Radial Contact Force = 	-0.26915928413242535
H = 	1.08999999999999986	 Volume = 	0.37833333333331315	 Pressure = 	-16.29274813206749073	 Radial Contact Force = 	-0.33944261194657044
H = 	1.08999999999999986	 Volume = 	0.37833333333331315	 Pressure = 	-16.29274813206749073	 Radial Contact Force = 	-0.33944261194657044
H = 	1.07999999999999985	 Volume = 	0.37833333333333258	 Pressure = 	-16.51851785921887128	 Radial Contact Force = 	-0.42114953504589681
H = 	1.07999999999999985	 Volume = 	0.37833333333333258	 Pressure = 	-16.51851785921887128	 Radial Contact Force = 	-0.42114953504589681
H = 	1.06999999999999984	 Volume = 	0.37833333333332847	 Pressure = 	-16.75509938575872226	 Radial Contact Force = 	-0.50412174342585503
H = 	1.06999999999999984	 Volume = 	0.37833333333332847	 Pressure = 	-16.75509938575872226	 Radial Contact Force = 	-0.50412174342585503
H = 	1.05999999999999983	 Volume = 	0.37833333333330710	 Pressure = 	-17.01088827286239180	 Radial Contact Force = 	-0.59227336584348622
H = 	1.05999999999999983	 Volume = 	0.37833333333330710	 Pressure = 	-17.01088827286239180	 Radial Contact Force = 	-0.59227336584348622
H = 	1.04999999999999982	 Volume = 	0.37833333333330649	 Pressure = 	-17.30419165270165394	 Radial Contact Force = 	-0.69414559544009125
H = 	1.04999999999999982	 Volume = 	0.37833333333330649	 Pressure = 	-17.30419165270165394	 Radial Contact Force = 	-0.69414559544009125
H = 	1.03999999999999981	 Volume = 	0.37833333333331737	 Pressure = 	-17.60940003411807453	 Radial Contact Force = 	-0.79722675013153810
H = 	1.03999999999999981	 Volume = 	0.37833333333331737	 Pressure = 	-17.60940003411807453	 Radial Contact Force = 	-0.79722675013153810
