H = 	1.19999999999999996	 Volume = 	0.24299999999881017	 Pressure = 	0.00000000000000000	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.25310035931106450	 Pressure = 	-0.01441565506573101	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.26340269157663093	 Pressure = 	-0.02797588987548187	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.27390902393978811	 Pressure = 	-0.04075429471158567	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.24299999999881017	 Pressure = 	0.00000000000000000	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.25310035931106450	 Pressure = 	-0.01441565506573101	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.26340269157663093	 Pressure = 	-0.02797588987548187	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.27390902393978811	 Pressure = 	-0.04075429471158567	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.28462135634072921	 Pressure = 	-0.05281700714749000	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.29554168881418708	 Pressure = 	-0.06422346317991470	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.31801433333351542	 Pressure = 	-0.08527665771827631	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.36554366669127308	 Pressure = 	-0.12154490229308876	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.47138633333333491	 Pressure = 	-0.17757910672078486	 Radial Contact Force = 	0.00000000000000000
H = 	1.19999999999999996	 Volume = 	0.48566666666666158	 Pressure = 	-0.18346180137988344	 Radial Contact Force = 	-0.00000000000000000
H = 	1.18999999999999995	 Volume = 	0.48566666666631275	 Pressure = 	-0.18392816518796862	 Radial Contact Force = 	-0.00034780210086752
H = 	1.17999999999999994	 Volume = 	0.48566666666644093	 Pressure = 	-0.18452955053561632	 Radial Contact Force = 	-0.00079047497798930
H = 	1.16999999999999993	 Volume = 	0.48566666666626818	 Pressure = 	-0.18521591589569045	 Radial Contact Force = 	-0.00128936827193408
H = 	1.15999999999999992	 Volume = 	0.48566666666626046	 Pressure = 	-0.18598632478284829	 Radial Contact Force = 	-0.00184350644987959
H = 	1.14999999999999991	 Volume = 	0.48566666666650904	 Pressure = 	-0.18681495899060896	 Radial Contact Force = 	-0.00243245240848941
H = 	1.14999999999999991	 Volume = 	0.48566666666650904	 Pressure = 	-0.18681495899060896	 Radial Contact Force = 	-0.00243245240848941
