H = 	0.97980468750000860	 Volume = 	0.32343299999999470	 Pressure = 	-0.00012933464759453	 Radial Contact Force = 	-0.00001558296643311
H = 	0.97978515625000862	 Volume = 	0.32343299999999442	 Pressure = 	-0.00012958020627285	 Radial Contact Force = 	-0.00001560517794484
H = 	0.97976562500000863	 Volume = 	0.32343299999999842	 Pressure = 	-0.00012982588111967	 Radial Contact Force = 	-0.00001562733295499
H = 	0.97974609375000865	 Volume = 	0.32343299999999708	 Pressure = 	-0.00013007167664091	 Radial Contact Force = 	-0.00001564943366972
H = 	0.97972656250000867	 Volume = 	0.32343299999999858	 Pressure = 	-0.00013031950527162	 Radial Contact Force = 	-0.00001567244151612
H = 	0.97970703125000869	 Volume = 	0.32343299999998831	 Pressure = 	-0.00013056835480779	 Radial Contact Force = 	-0.00001569584642758
H = 	0.97968750000000870	 Volume = 	0.32343299999999492	 Pressure = 	-0.00013081737981642	 Radial Contact Force = 	-0.00001571923187107
H = 	0.97966796875000872	 Volume = 	0.32343299999999298	 Pressure = 	-0.00013106654541130	 Radial Contact Force = 	-0.00001574255375828
H = 	0.97964843750000874	 Volume = 	0.32343299999999514	 Pressure = 	-0.00013131581055105	 Radial Contact Force = 	-0.00001576582099204
H = 	0.97962890625000876	 Volume = 	0.32343299999999475	 Pressure = 	-0.00013156519989571	 Radial Contact Force = 	-0.00001578903478181
H = 	0.97960937500000878	 Volume = 	0.32343299999999453	 Pressure = 	-0.00013181467612702	 Radial Contact Force = 	-0.00001581218008329
H = 	0.97958984375000879	 Volume = 	0.32343299999999175	 Pressure = 	-0.00013206431609310	 Radial Contact Force = 	-0.00001583528791834
H = 	0.97957031250000881	 Volume = 	0.32343299999999442	 Pressure = 	-0.00013231408115094	 Radial Contact Force = 	-0.00001585834256196
H = 	0.97955078125000883	 Volume = 	0.32343299999999270	 Pressure = 	-0.00013256397158241	 Radial Contact Force = 	-0.00001588134409637
H = 	0.97953125000000885	 Volume = 	0.32343299999999214	 Pressure = 	-0.00013281393391547	 Radial Contact Force = 	-0.00001590427197992
H = 	0.97951171875000886	 Volume = 	0.32343299999998959	 Pressure = 	-0.00013306407816691	 Radial Contact Force = 	-0.00001592716867930
H = 	0.97949218750000888	 Volume = 	0.32343299999999087	 Pressure = 	-0.00013331434867594	 Radial Contact Force = 	-0.00001595001252505
H = 	0.97947265625000890	 Volume = 	0.32343299999999131	 Pressure = 	-0.00013356473626607	 Radial Contact Force = 	-0.00001597279878753
H = 	0.97945312500000892	 Volume = 	0.32343299999999237	 Pressure = 	-0.00013381522574165	 Radial Contact Force = 	-0.00001599551947374
H = 	0.97943359375000894	 Volume = 	0.32343299999999675	 Pressure = 	-0.00013406593246333	 Radial Contact Force = 	-0.00001601822688813
