H = 	1.21	 Volume = 	0.243	 Pressure = 	0
H = 	1.21	 Volume = 	0.364333	 Pressure = 	-0.512963
H = 	1.21	 Volume = 	0.485667	 Pressure = 	-0.719312
H = 	1.21	 Volume = 	0.485667	 Pressure = 	-0.719312
H = 	1.2	 Volume = 	0.485667	 Pressure = 	-0.719312
H = 	1.19	 Volume = 	0.485667	 Pressure = 	-0.720969
H = 	1.19	 Volume = 	0.485667	 Pressure = 	-0.720969
H = 	1.18	 Volume = 	0.485667	 Pressure = 	-0.723138
H = 	1.17	 Volume = 	0.485667	 Pressure = 	-0.725588
H = 	1.17	 Volume = 	0.485667	 Pressure = 	-0.725588
H = 	1.16	 Volume = 	0.485667	 Pressure = 	-0.728373
H = 	1.15	 Volume = 	0.485667	 Pressure = 	-0.731392
H = 	1.15	 Volume = 	0.485667	 Pressure = 	-0.731392
H = 	1.14	 Volume = 	0.485667	 Pressure = 	-0.734684
H = 	1.13	 Volume = 	0.485667	 Pressure = 	-0.738222
H = 	1.13	 Volume = 	0.485667	 Pressure = 	-0.738222
H = 	1.12	 Volume = 	0.485667	 Pressure = 	-0.74201
H = 	1.11	 Volume = 	0.485667	 Pressure = 	-0.746045
H = 	1.11	 Volume = 	0.485667	 Pressure = 	-0.746045
H = 	1.1	 Volume = 	0.485667	 Pressure = 	-0.750341
H = 	1.09	 Volume = 	0.485667	 Pressure = 	-0.75487
H = 	1.09	 Volume = 	0.485667	 Pressure = 	-0.75487
H = 	1.08	 Volume = 	0.485667	 Pressure = 	-0.759713
H = 	1.07	 Volume = 	0.485667	 Pressure = 	-0.764743
H = 	1.07	 Volume = 	0.485667	 Pressure = 	-0.764743
H = 	1.06	 Volume = 	0.485667	 Pressure = 	-0.770159
H = 	1.05	 Volume = 	0.485667	 Pressure = 	-0.775755
H = 	1.05	 Volume = 	0.485667	 Pressure = 	-0.775755
H = 	1.04	 Volume = 	0.485667	 Pressure = 	-0.781702
H = 	1.03	 Volume = 	0.485667	 Pressure = 	-0.787895
H = 	1.03	 Volume = 	0.485667	 Pressure = 	-0.787895
H = 	1.02	 Volume = 	0.485667	 Pressure = 	-0.794386
H = 	1.01	 Volume = 	0.485667	 Pressure = 	-0.801238
H = 	1.01	 Volume = 	0.485667	 Pressure = 	-0.801238
H = 	1	 Volume = 	0.485667	 Pressure = 	-0.808329
H = 	0.99	 Volume = 	0.485667	 Pressure = 	-0.815883
H = 	0.99	 Volume = 	0.485667	 Pressure = 	-0.815883
H = 	0.98	 Volume = 	0.485667	 Pressure = 	-0.82367
H = 	0.97	 Volume = 	0.485667	 Pressure = 	-0.83185
H = 	0.97	 Volume = 	0.485667	 Pressure = 	-0.83185
H = 	0.96	 Volume = 	0.485667	 Pressure = 	-0.840381
