H = 	1	 Volume = 	0.243	 Pressure = 	0	 Normal Contact Force = 	0
H = 	1	 Volume = 	0.243	 Pressure = 	0	 Normal Contact Force = 	0
H = 	0.99	 Volume = 	0.243	 Pressure = 	-0.00200228	 Normal Contact Force = 	-0.000510397
H = 	0.98	 Volume = 	0.243	 Pressure = 	-0.0043428	 Normal Contact Force = 	-0.00106578
H = 	0.97	 Volume = 	0.243	 Pressure = 	-0.00700962	 Normal Contact Force = 	-0.00164965
H = 	0.96	 Volume = 	0.243	 Pressure = 	-0.0100235	 Normal Contact Force = 	-0.00225624
H = 	0.95	 Volume = 	0.243	 Pressure = 	-0.0134602	 Normal Contact Force = 	-0.0028936
H = 	0.94	 Volume = 	0.243	 Pressure = 	-0.0174348	 Normal Contact Force = 	-0.00357909
H = 	0.93	 Volume = 	0.243	 Pressure = 	-0.022101	 Normal Contact Force = 	-0.00434095
H = 	0.92	 Volume = 	0.243	 Pressure = 	-0.0274788	 Normal Contact Force = 	-0.00517683
H = 	0.91	 Volume = 	0.243	 Pressure = 	-0.0336365	 Normal Contact Force = 	-0.00609675
H = 	0.9	 Volume = 	0.243	 Pressure = 	-0.0406245	 Normal Contact Force = 	-0.00710676
H = 	0.89	 Volume = 	0.243	 Pressure = 	-0.048637	 Normal Contact Force = 	-0.00825258
H = 	0.88	 Volume = 	0.243	 Pressure = 	-0.0576756	 Normal Contact Force = 	-0.00953192
H = 	0.87	 Volume = 	0.243	 Pressure = 	-0.0677107	 Normal Contact Force = 	-0.0109345
H = 	0.86	 Volume = 	0.243	 Pressure = 	-0.0790337	 Normal Contact Force = 	-0.0125411
H = 	0.86	 Volume = 	0.243	 Pressure = 	-0.0790337	 Normal Contact Force = 	-0.0125411
H = 	0.85	 Volume = 	0.243	 Pressure = 	-0.0915044	 Normal Contact Force = 	-0.0143171
H = 	0.84	 Volume = 	0.243	 Pressure = 	-0.1053	 Normal Contact Force = 	-0.0163192
H = 	0.84	 Volume = 	0.243	 Pressure = 	-0.1053	 Normal Contact Force = 	-0.0163192
H = 	0.83	 Volume = 	0.243	 Pressure = 	-0.120449	 Normal Contact Force = 	-0.018569
H = 	0.82	 Volume = 	0.243	 Pressure = 	-0.136876	 Normal Contact Force = 	-0.0210588
H = 	0.82	 Volume = 	0.243	 Pressure = 	-0.136876	 Normal Contact Force = 	-0.0210588
H = 	0.81	 Volume = 	0.243	 Pressure = 	-0.15481	 Normal Contact Force = 	-0.0238815
H = 	0.8	 Volume = 	0.243	 Pressure = 	-0.173994	 Normal Contact Force = 	-0.026983
H = 	0.8	 Volume = 	0.243	 Pressure = 	-0.173994	 Normal Contact Force = 	-0.026983
H = 	0.79	 Volume = 	0.243	 Pressure = 	-0.19475	 Normal Contact Force = 	-0.0305006
H = 	0.78	 Volume = 	0.243	 Pressure = 	-0.216725	 Normal Contact Force = 	-0.0343558
H = 	0.78	 Volume = 	0.243	 Pressure = 	-0.216725	 Normal Contact Force = 	-0.0343558
H = 	0.77	 Volume = 	0.243	 Pressure = 	-0.240248	 Normal Contact Force = 	-0.038707
H = 	0.76	 Volume = 	0.243	 Pressure = 	-0.264976	 Normal Contact Force = 	-0.043482
H = 	0.76	 Volume = 	0.243	 Pressure = 	-0.264976	 Normal Contact Force = 	-0.043482
H = 	0.755	 Volume = 	0.243	 Pressure = 	-0.277705	 Normal Contact Force = 	-0.0460143
H = 	0.75	 Volume = 	0.243	 Pressure = 	-0.291153	 Normal Contact Force = 	-0.0488296
H = 	0.745	 Volume = 	0.243	 Pressure = 	-0.304738	 Normal Contact Force = 	-0.0517169
H = 	0.74	 Volume = 	0.243	 Pressure = 	-0.318567	 Normal Contact Force = 	-0.054724
H = 	0.74	 Volume = 	0.243	 Pressure = 	-0.318567	 Normal Contact Force = 	-0.054724
H = 	0.73	 Volume = 	0.243	 Pressure = 	-0.347316	 Normal Contact Force = 	-0.0612738
H = 	0.72	 Volume = 	0.243	 Pressure = 	-0.377361	 Normal Contact Force = 	-0.0685334
H = 	0.72	 Volume = 	0.243	 Pressure = 	-0.377361	 Normal Contact Force = 	-0.0685334
H = 	0.71	 Volume = 	0.243	 Pressure = 	-0.408611	 Normal Contact Force = 	-0.0765405
H = 	0.7	 Volume = 	0.243	 Pressure = 	-0.441326	 Normal Contact Force = 	-0.0854982
H = 	0.7	 Volume = 	0.243	 Pressure = 	-0.441326	 Normal Contact Force = 	-0.0854982
H = 	0.69	 Volume = 	0.243	 Pressure = 	-0.475029	 Normal Contact Force = 	-0.0952642
H = 	0.68	 Volume = 	0.243	 Pressure = 	-0.510489	 Normal Contact Force = 	-0.106328
H = 	0.68	 Volume = 	0.243	 Pressure = 	-0.510489	 Normal Contact Force = 	-0.106328
H = 	0.67	 Volume = 	0.243	 Pressure = 	-0.546752	 Normal Contact Force = 	-0.118286
H = 	0.66	 Volume = 	0.243	 Pressure = 	-0.584967	 Normal Contact Force = 	-0.131895
H = 	0.66	 Volume = 	0.243	 Pressure = 	-0.584967	 Normal Contact Force = 	-0.131895
