H = 	0.4	 Volume = 	0	 Pressure = 	-2.70972	 Normal Contact Force = 	-3.0626
H = 	0.4	 Volume = 	0.243	 Pressure = 	-2.70972	 Normal Contact Force = 	-3.0626
H = 	0.399375	 Volume = 	0.243	 Pressure = 	-2.72308	 Normal Contact Force = 	-3.09685
H = 	0.399063	 Volume = 	0.243	 Pressure = 	-2.72977	 Normal Contact Force = 	-3.11409
H = 	0.39875	 Volume = 	0.243	 Pressure = 	-2.73647	 Normal Contact Force = 	-3.1314
H = 	0.398438	 Volume = 	0.243	 Pressure = 	-2.74317	 Normal Contact Force = 	-3.14879
H = 	0.398125	 Volume = 	0.243	 Pressure = 	-2.74989	 Normal Contact Force = 	-3.16625
H = 	0.397813	 Volume = 	0.243	 Pressure = 	-2.75661	 Normal Contact Force = 	-3.18379
H = 	0.397656	 Volume = 	0.243	 Pressure = 	-2.75997	 Normal Contact Force = 	-3.19259
H = 	0.3975	 Volume = 	0.243	 Pressure = 	-2.76334	 Normal Contact Force = 	-3.20141
H = 	0.397344	 Volume = 	0.243	 Pressure = 	-2.7667	 Normal Contact Force = 	-3.21025
H = 	0.397187	 Volume = 	0.243	 Pressure = 	-2.77007	 Normal Contact Force = 	-3.2191
H = 	0.397109	 Volume = 	0.243	 Pressure = 	-2.77176	 Normal Contact Force = 	-3.22354
H = 	0.397031	 Volume = 	0.243	 Pressure = 	-2.77344	 Normal Contact Force = 	-3.22798
H = 	0.396953	 Volume = 	0.243	 Pressure = 	-2.77513	 Normal Contact Force = 	-3.23242
H = 	0.396934	 Volume = 	0.243	 Pressure = 	-2.77555	 Normal Contact Force = 	-3.23353
H = 	0.396914	 Volume = 	0.243	 Pressure = 	-2.77597	 Normal Contact Force = 	-3.23465
H = 	0.396895	 Volume = 	0.243	 Pressure = 	-2.77639	 Normal Contact Force = 	-3.23576
H = 	0.396875	 Volume = 	0.243	 Pressure = 	-2.77682	 Normal Contact Force = 	-3.23687
H = 	0.396855	 Volume = 	0.243	 Pressure = 	-2.77724	 Normal Contact Force = 	-3.23799
H = 	0.396836	 Volume = 	0.243	 Pressure = 	-2.77766	 Normal Contact Force = 	-3.2391
H = 	0.396816	 Volume = 	0.243	 Pressure = 	-2.77808	 Normal Contact Force = 	-3.24021
H = 	0.396797	 Volume = 	0.243	 Pressure = 	-2.7785	 Normal Contact Force = 	-3.24133
H = 	0.396777	 Volume = 	0.243	 Pressure = 	-2.77893	 Normal Contact Force = 	-3.24244
H = 	0.396758	 Volume = 	0.243	 Pressure = 	-2.77935	 Normal Contact Force = 	-3.24356
H = 	0.396738	 Volume = 	0.243	 Pressure = 	-2.77977	 Normal Contact Force = 	-3.24467
